iter	Passed	Remaining
408	5070	7326
409	5081	7311
410	5092	7297
411	5102	7282
412	5113	7268
413	5124	7253
414	5135	7239
415	5146	7224
416	5157	7210
417	5168	7196
418	5179	7181
419	5190	7167
420	5201	7153
421	5212	7138
422	5223	7124
423	5234	7111
424	5245	7097
425	5256	7083
426	5268	7069
427	5279	7055
428	5290	7042
429	5301	7028
430	5313	7014
431	5325	7002
432	5338	6990
433	5350	6977
434	5361	6964
435	5373	6950
436	5384	6937
437	5396	6924
438	5410	6913
439	5422	6901
440	5433	6887
441	5452	6884
442	5464	6870
443	5475	6857
444	5487	6843
445	5497	6829
446	5508	6815
447	5519	6801
448	5530	6787
449	5541	6773
450	5552	6758
451	5563	6744
452	5573	6730
453	5585	6717
454	5596	6703
455	5606	6688
456	5617	6674
457	5628	6660
458	5639	6646
459	5650	6633
460	5661	6619
461	5672	6605
462	5683	6591
463	5693	6577
464	5704	6563
465	5715	6549
466	5726	6535
467	5737	6521
468	5748	6508
469	5759	6494
470	5769	6480
471	5781	6466
472	5791	6453
473	5802	6439
474	5813	6425
475	5824	6412
476	5835	6398
477	5846	6384
478	5858	6372
479	5869	6358
480	5880	6344
481	5890	6330
482	5900	6316
483	5911	6301
484	5921	6287
485	5931	6273
486	5942	6259
487	5952	6245
488	5962	6230
489	5972	6216
490	5982	6202
491	5992	6187
492	6003	6173
493	6014	6160
494	6024	6146
495	6035	6132
496	6045	6118
497	6056	6105
498	6067	6091
499	6077	6077
500	6088	6063
501	6098	6049
502	6108	6036
503	6119	6022
504	6129	6008
505	6140	5994
506	6150	5980
507	6160	5966
508	6171	5953
509	6181	5939
510	6192	5925
511	6202	5911
512	6213	5898
513	6224	5885
514	6234	5871
515	6245	5858
516	6256	5844
517	6266	5831
518	6277	5818
519	6288	5804
520	6299	5791
521	6310	5778
522	6320	5764
523	6331	5751
524	6343	5738
525	6354	5725
526	6364	5712
527	6378	5701
528	6389	5689
529	6399	5675
530	6409	5661
531	6420	5647
532	6430	5634
533	6440	5620
534	6451	5607
535	6461	5593
536	6471	5579
537	6481	5565
538	6491	5552
539	6501	5538
540	6511	5524
541	6522	5511
542	6532	5497
543	6549	5490
544	6560	5477
545	6571	5463
546	6581	5450
547	6592	5437
548	6602	5423
549	6613	5410
550	6623	5397
551	6634	5384
552	6644	5370
553	6655	5357
554	6665	5344
555	6676	5331
556	6686	5318
557	6697	5304
558	6707	5291
559	6717	5278
560	6728	5265
561	6739	5252
562	6749	5238
563	6759	5225
564	6770	5212
565	6780	5199
566	6791	5186
567	6802	5173
568	6813	5161
569	6824	5148
570	6835	5135
571	6846	5122
572	6857	5110
573	6868	5097
574	6879	5084
575	6890	5071
576	6902	5060
577	6913	5047
578	6923	5034
579	6933	5021
580	6944	5008
581	6954	4994
582	6964	4981
583	6975	4968
584	6985	4955
585	6995	4942
586	7005	4928
587	7015	4915
588	7025	4902
589	7035	4889
590	7046	4876
591	7056	4863
592	7067	4850
593	7077	4837
594	7088	4824
595	7098	4811
596	7109	4799
597	7120	4786
598	7130	4773
599	7141	4761
600	7152	4748
601	7162	4735
602	7173	4722
603	7183	4709
604	7194	4697
605	7204	4684
606	7215	4671
607	7225	4658
608	7237	4646
609	7247	4633
610	7258	4621
611	7269	4608
612	7280	4596
613	7291	4584
614	7302	4571
615	7313	4559
616	7324	4546
617	7335	4534
618	7346	4521
619	7357	4509
620	7368	4496
621	7381	4485
622	7392	4473
623	7403	4461
624	7414	4448
625	7428	4438
626	7439	4425
627	7450	4413
628	7460	4400
629	7471	4388
630	7482	4375
631	7493	4363
632	7503	4350
633	7514	4337
634	7524	4325
635	7535	4312
636	7545	4300
637	7555	4287
638	7566	4274
639	7577	4262
640	7588	4249
641	7598	4237
642	7609	4224
643	7620	4212
644	7631	4200
645	7649	4192
646	7661	4179
647	7672	4167
648	7683	4155
649	7694	4142
650	7704	4130
651	7716	4118
652	7727	4106
653	7738	4093
654	7749	4081
655	7760	4069
656	7771	4057
657	7782	4044
658	7793	4032
659	7804	4020
660	7814	4007
661	7825	3995
662	7836	3983
663	7847	3971
664	7858	3958
665	7869	3946
666	7880	3934
667	7890	3921
668	7901	3909
669	7912	3897
670	7923	3884
671	7934	3872
672	7947	3861
673	7959	3849
674	7970	3837
675	7981	3825
676	7992	3813
677	8003	3801
678	8014	3788
679	8026	3777
680	8038	3765
681	8049	3753
682	8060	3741
683	8071	3729
684	8087	3718
685	8101	3708
686	8116	3697
687	8131	3687
688	8146	3677
689	8161	3666
690	8175	3656
691	8189	3645
692	8203	3634
693	8217	3623
694	8231	3612
695	8245	3601
696	8260	3590
697	8274	3580
698	8288	3569
699	8301	3557
700	8314	3546
701	8327	3535
702	8341	3523
703	8354	3512
704	8369	3502
705	8383	3491
706	8397	3480
707	8410	3468
708	8423	3457
709	8437	3446
710	8449	3434
711	8462	3423
712	8478	3412
713	8492	3401
714	8505	3390
715	8518	3378
716	8531	3367
717	8544	3355
718	8557	3344
719	8569	3332
720	8582	3320
721	8594	3309
722	8606	3297
723	8618	3285
724	8631	3273
725	8643	3262
726	8655	3250
727	8667	3238
728	8679	3226
729	8692	3214
730	8704	3203
731	8717	3191
732	8729	3179
733	8741	3167
734	8762	3159
735	8773	3147
736	8785	3135
737	8797	3123
738	8809	3111
739	8821	3099
740	8833	3087
741	8844	3075
742	8856	3063
743	8868	3051
744	8879	3039
745	8892	3027
746	8903	3015
747	8915	3003
748	8927	2991
749	8939	2979
750	8951	2967
751	8962	2955
752	8974	2943
753	8989	2933
754	9001	2921
755	9013	2909
756	9025	2897
757	9036	2884
758	9047	2872
759	9059	2860
760	9070	2848
761	9081	2836
762	9093	2824
763	9104	2812
764	9115	2800
765	9127	2788
766	9138	2776
767	9150	2764
768	9161	2752
769	9173	2740
770	9184	2727
771	9196	2715
772	9207	2703
