iter	Logloss
0	0.6797951437
1	0.6651418141
2	0.6512789514
3	0.6413603713
4	0.6288866982
5	0.6159866846
6	0.6073362507
7	0.5986876021
8	0.589734691
9	0.5808592294
10	0.5698225217
11	0.5614335258
12	0.5534900824
13	0.547528842
14	0.5408088652
15	0.5356220342
16	0.5296311433
17	0.5227477521
18	0.5172944756
19	0.5120318752
20	0.5063761968
21	0.4999018732
22	0.493969906
23	0.4899048946
24	0.4829923752
25	0.4788995766
26	0.4739573643
27	0.4682786135
28	0.46461737
29	0.4610726143
30	0.4557951263
31	0.4531578541
32	0.4488874875
33	0.4456795534
34	0.4413585369
35	0.4379355506
36	0.4345992137
37	0.431718939
38	0.4288203906
39	0.4257118731
40	0.4224070587
41	0.4198390733
42	0.4162498562
43	0.4138343442
44	0.4122013846
45	0.4104673474
46	0.4078173397
47	0.4056023538
48	0.4041601438
49	0.4027590935
50	0.3999583632
51	0.3978186264
52	0.3961188206
53	0.3943593649
54	0.3919043055
55	0.3893678439
56	0.3875613441
57	0.3860749348
58	0.3848639239
59	0.3837692349
60	0.3825750767
61	0.3806301052
62	0.3790639932
63	0.378112002
64	0.3766340272
65	0.3754987361
66	0.3736058544
67	0.3725784333
68	0.3708414374
69	0.369714163
70	0.3680547257
71	0.3668371976
72	0.3659354879
73	0.3640157933
74	0.3632539037
75	0.3617854146
76	0.3609328624
77	0.3591456888
78	0.3584817625
79	0.3570861399
80	0.3563512793
81	0.3557250825
82	0.3550825928
83	0.3543377972
84	0.3538238526
85	0.3531730881
86	0.3526010859
87	0.3513366421
88	0.3507470066
89	0.3501908702
90	0.3490205646
91	0.3485057597
92	0.3474334934
93	0.3467598567
94	0.3457652299
95	0.3452486185
96	0.3445206042
97	0.3433606819
98	0.3428616033
99	0.3422802221
100	0.3415641116
101	0.3407005974
102	0.3401168881
103	0.3395955384
104	0.3392891004
105	0.3384325323
106	0.33796136
107	0.3372188616
108	0.3359417148
109	0.3355212718
110	0.3346786704
111	0.3342579089
112	0.3337875352
113	0.3334388632
114	0.3329691109
115	0.3325708385
116	0.3318668935
117	0.3311307882
118	0.3306594604
119	0.3302316682
120	0.3295340104
121	0.3292031802
122	0.3286915008
123	0.3284188541
124	0.3281522549
125	0.3274822544
126	0.3271729538
127	0.3265156777
128	0.3260279592
